Date,Open,High,Low,Close,Adj Close,Volume
2014-12-31,56.544998,60.750000,56.259998,56.560001,56.560001,0
2015-01-01,58.325001,58.325001,58.325001,60.700001,60.700001,0
2015-01-02,59.480000,59.985001,57.625000,58.325001,58.325001,0
2015-01-05,58.622501,59.661999,57.255001,58.750000,58.750000,0
2015-01-06,60.355000,63.904999,60.355000,60.832001,60.832001,0
2015-01-07,63.180000,63.580002,62.005001,63.160000,63.160000,0
2015-01-08,62.280499,62.280499,60.320499,62.650002,62.650002,0
2015-01-09,61.990002,61.990002,59.529999,60.250000,60.250000,0
2015-01-12,61.685001,63.356899,61.435001,61.430000,61.430000,0
2015-01-13,63.134998,66.418800,63.134998,63.185001,63.185001,0
2015-01-14,63.333000,66.627602,63.333000,65.184998,65.184998,0
2015-01-15,63.365799,66.004799,63.365799,64.055000,64.055000,0
2015-01-16,64.885002,65.442802,64.385002,64.680000,64.680000,0
2015-01-19,65.264999,65.683197,64.075996,65.260002,65.260002,0
2015-01-20,64.779999,65.689796,64.779999,64.806702,64.806702,0
2015-01-21,65.180000,65.996803,64.986801,64.970001,64.970001,0
2015-01-22,65.438202,65.561302,64.134399,65.269997,65.269997,0
2015-01-23,63.785000,64.638802,62.987801,64.305000,64.305000,0
2015-01-26,64.485001,66.335800,64.485001,64.010002,64.010002,0
2015-01-27,67.610001,68.235001,67.104797,67.809998,67.809998,0
2015-01-28,66.735001,67.999901,66.519997,67.955002,67.955002,0
2015-01-29,67.985001,69.378799,67.915001,67.790001,67.790001,0
2015-01-30,68.785004,71.562798,68.184998,68.735001,68.735001,0
2015-02-02,69.510002,70.427101,68.284698,70.035004,70.035004,0
2015-02-03,68.379997,68.379997,65.619797,68.349998,68.349998,0
2015-02-04,64.795799,67.946701,64.492996,65.084999,65.084999,0
2015-02-05,67.834999,68.825798,65.935997,67.764999,67.764999,0
2015-02-06,66.407501,67.450996,65.224998,66.372498,66.372498,0
2015-02-09,65.559998,66.757797,65.132301,66.989998,66.989998,0
2015-02-10,65.404999,66.430702,65.065300,65.684998,65.684998,0
2015-02-11,65.334999,66.892998,65.334999,65.315002,65.315002,0
2015-02-12,65.535004,67.296799,64.539597,65.029999,65.029999,0
2015-02-13,65.129997,65.556801,63.069801,65.250000,65.250000,0
2015-02-16,62.735001,63.455002,62.128799,63.330002,63.330002,0
2015-02-17,63.695000,63.744999,62.139702,63.084999,63.084999,0
2015-02-18,63.369999,63.369999,61.213799,63.724998,63.724998,0
2015-02-19,61.264999,62.553799,61.215000,61.639999,61.639999,0
2015-02-20,61.959999,62.281799,61.334999,61.875000,61.875000,0
2015-02-23,61.860001,64.495300,61.860001,61.660000,61.660000,0
2015-02-24,63.959999,63.959999,62.714001,63.570000,63.570000,0
2015-02-25,62.985001,62.985001,61.586800,62.735001,62.735001,0
2015-02-26,61.134998,61.340000,59.864799,61.470001,61.470001,0
2015-02-27,61.134998,62.051800,60.915298,61.134998,61.134998,0
2015-03-02,61.509998,62.464802,61.410000,61.160000,61.160000,0
2015-03-03,62.360001,62.469799,62.001301,62.669998,62.669998,0
2015-03-04,60.985001,62.323799,60.084999,61.845001,61.845001,0
2015-03-05,61.660000,61.958500,60.593700,61.830002,61.830002,0
2015-03-06,60.310001,60.494999,59.292801,60.919998,60.919998,0
2015-03-09,60.590000,61.011299,59.959999,60.380001,60.380001,0
2015-03-10,60.174999,62.260899,60.151798,60.770000,60.770000,0
2015-03-11,62.235001,63.013500,61.652901,62.044998,62.044998,0
2015-03-12,61.485001,61.785000,60.318802,62.360001,62.360001,0
2015-03-13,61.160000,61.688999,60.703800,61.259998,61.259998,0
2015-03-16,62.349998,62.720798,61.810001,62.345001,62.345001,0
2015-03-17,61.985001,62.060001,61.451801,62.250000,62.250000,0
2015-03-18,61.160000,61.488998,60.958599,61.416698,61.416698,0
2015-03-19,59.455002,60.205799,59.331902,59.345001,59.345001,0
2015-03-20,60.083698,60.612900,59.315800,60.035000,60.035000,0
2015-03-23,59.490002,59.866199,58.599701,59.235001,59.235001,0
2015-03-24,58.892502,58.953999,57.503601,58.705002,58.705002,0
2015-03-25,57.744999,57.996399,56.633801,57.740002,57.740002,0
2015-03-26,56.310001,57.424801,56.094002,57.402500,57.402500,0
2015-03-27,57.375000,57.988800,57.123798,57.310001,57.310001,0
2015-03-30,55.696800,58.671799,55.696800,57.895000,57.895000,0
2015-03-31,57.625702,58.250198,56.785000,57.525002,57.525002,0
2015-04-01,57.853500,58.466801,57.387001,58.152000,58.152000,0
2015-04-02,56.959999,57.352299,55.991699,57.553001,57.553001,0
2015-04-03,56.215000,57.132801,55.784000,56.550999,56.550999,0
2015-04-06,57.064999,57.064999,55.060001,56.691002,56.691002,0
2015-04-07,55.209999,55.738800,54.785000,55.449001,55.449001,0
2015-04-08,54.959999,54.959999,53.401299,54.919998,54.919998,0
2015-04-09,53.294998,53.393002,51.847198,53.645000,53.645000,0
2015-04-10,52.259998,52.497799,50.318802,51.983002,51.983002,0
2015-04-13,53.709999,53.709999,51.891800,52.239498,52.239498,0
2015-04-14,52.481701,52.481701,51.007000,52.082699,52.082699,0
2015-04-15,50.926201,50.951199,50.099998,50.990002,50.990002,0
2015-04-16,49.685001,50.286800,49.084999,49.797001,49.797001,0
2015-04-17,49.915001,52.580002,49.672699,49.764000,49.764000,0
2015-04-20,51.735001,53.772598,50.823502,51.985001,51.985001,0
2015-04-21,53.594002,54.081402,53.059700,53.369999,53.369999,0
2015-04-22,53.485001,53.918800,52.495998,53.577000,53.577000,0
2015-04-23,51.935001,52.379902,50.683800,51.799999,51.799999,0
2015-04-24,50.785000,52.709999,50.070801,50.810001,50.810001,0
2015-04-27,50.384998,51.995300,49.910000,50.859001,50.859001,0
2015-04-28,51.325001,52.523602,51.243500,51.903000,51.903000,0
2015-04-29,51.195000,51.895100,50.876701,51.099998,51.099998,0
2015-04-30,50.660000,52.160198,50.544998,50.989700,50.989700,0
2015-05-01,51.459999,51.884800,50.926201,51.584999,51.584999,0
2015-05-04,51.599998,52.211800,50.884399,51.370201,51.370201,0
2015-05-05,51.904999,52.210899,50.372799,51.968601,51.968601,0
2015-05-06,50.470001,50.654202,49.702400,50.553001,50.553001,0
2015-05-07,50.834999,50.867599,49.988701,50.898701,50.898701,0
2015-05-08,50.535000,51.235901,50.264999,50.258999,50.258999,0
2015-05-11,50.985001,51.684200,50.657501,50.918999,50.918999,0
2015-05-12,50.759998,51.377899,50.107800,51.153400,51.153400,0
2015-05-13,49.985001,50.529999,48.864601,49.988998,49.988998,0
2015-05-14,49.753700,50.436401,48.900002,49.308998,49.308998,0
2015-05-15,49.959999,50.194801,49.452801,50.056999,50.056999,0
2015-05-18,49.430000,49.584999,48.971699,49.426498,49.426498,0
2015-05-19,49.084999,49.634998,48.801201,49.076000,49.076000,0
