Регионы;Индекс промышленного производства;Степень износа основных фондов;Объём государственного долга субъекта РФ (млн. руб.)
Белгородская область;104.4;54.5;25458.38
Брянская область;112.2;51.9;7740.24
Владимирская область;108.6;54.6;3756.88
Воронежская область;105.5;44.2;16790.94
Ивановская область;108.8;55;9180.74
Калужская область;107.9;50.1;26868.96
Костромская область;113.4;57.7;17734.98
Курская область;107.7;53.6;8672.92
Липецкая область;106;56;10907.74
Московская область;121.9;45.6;265748.11
Орловская область;110.4;53.6;20033.39
Рязанская область;106.3;64.6;22296.66
Смоленская область;106.1;59.9;25234.78
Тамбовская область;103.9;62.9;18582.92
Тверская область;104.4;58.4;14803.41
Тульская область;109.7;46.7;17863.04
Ярославская область;111.2;58.7;41849.62
г. Москва;127.7;35;145433.06
Республика Карелия;101.2;55.1;19847.37
Республика Коми;101.7;56.4;34403.29
Ненецкий автономный округ;102.4;57.5;800
Архангельская область без автономного округа;100.9;54.4;42626.75
Вологодская область;101;56.7;14840.07
Калининградская область;104.3;40.3;22323.02
Ленинградская область;107.9;47.7;2564.33
Мурманская область;105.7;39.8;12441.54
Новгородская область;106.8;55.7;17084.96
Псковская область;105.6;52.6;21147.73
г. Санкт-Петербург;106.4;43.1;85006.1
Республика Адыгея;112.5;50.8;2974.72
Республика Калмыкия;129.3;38.3;7773.76
Республика Крым;110.5;55.6;3249.43
Краснодарский край;108.3;45.2;99531.84
Астраханская область;93.9;59.3;14828.69
Волгоградская область;98.4;55.5;57096.77
Ростовская область;110;47.1;27331.19
г. Севастополь;115;33.4;0
Республика Дагестан;110.5;56.9;8342.14
Республика Ингушетия;104.6;47.7;1913.64
Кабардино-Балкарская Республика;105.4;46.6;6970.61
Карачаево-Черкесская Республика;110.1;42.1;5140.88
Республика Северная Осетия – Алания;114.2;42.7;6882.33
Чеченская Республика;103.2;56.8;3594.95
Ставропольский край;113.5;54.7;28897.57
Республика Башкортостан;104.4;59.4;26617.24
Республика Марий Эл;99.7;71.1;10500
Республика Мордовия;111.1;66.9;49803.43
Республика Татарстан;108.6;53.5;96623.6
Удмуртская Республика;108.9;68.7;63052.33
Чувашская Республика;98.9;67.7;7967.84
Пермский край;104.3;64.5;14159.4
Кировская область;114.6;55;21541.16
Нижегородская область;113.6;58.7;104642.19
Оренбургская область;99.6;65.7;17627.96
Пензенская область;115.5;53.9;19252.72
Самарская область;103.6;60.4;42173.64
Саратовская область;107;60.2;55004.23
Ульяновская область;111.8;58.1;41126.44
Курганская область;104.8;62;16154.79
Свердловская область;101.5;64.5;99457.75
Ханты-Мансийский автономный округ – Югра;102;73.8;7300
Ямало-Ненецкий автономный округ;108.7;60;3914.07
Тюменская область без автономных округов;104.4;48.9;1001.9
Челябинская область;106;52.9;24329.79
Республика Алтай;101.1;37;1721.1
Республика Тыва;105.8;48.8;2467.34
Республика Хакасия;106.7;46.7;23275.78
Алтайский край;101.7;54.8;1776.27
Красноярский край;98.1;46.4;63297.2
Иркутская область;101.2;51.5;14273.08
Кемеровская область;106.8;51.1;53687.48
Новосибирская область;113.7;51.7;41968.85
Омская область;103.3;48.2;45822.55
Томская область;106.3;68.7;48367.96
Республика Бурятия;101.8;37.2;15879.96
Республика Саха (Якутия);114.4;38.5;45552.15
Забайкальский край;108.5;37.6;27809.56
Камчатский край;112.3;39.7;6586.68
Приморский край;122.2;40.8;2774.52
Хабаровский край;110;42.1;51674.51
Амурская область;108.9;34.5;26985.97
Магаданская область;106;40.5;12177.97
Сахалинская область;88.6;65.3;5000
Еврейская автономная область;96.9;44.4;4900.07
Чукотский автономный округ;103.6;48.5;9682.71
